,COIN,PRICE,1H,24H,7D,24 H VOLUME ,MKT CAP,CIRCULATING SUPPLY,ATH,ATL,TRADING VOLUME,INITIAL RICE ($)
569,QANplatform QANX QANX,$0.031142286642,0.9%,-3.3%,-13.6%,"$488,106","$52,943,235","1,865,109,154 QANX",$0.39,$0.00,"3,333,333,000 QANX",
582,QASH QASH QASH,$0.076374794369,-0.2%,0.5%,-2.5%,"$130,188","$51,560,225","350,000,000 QASH",$2.49,$0.01,"1,000,000,000 QASH",
586,Qi Dao QI QI,$0.725123,0.0%,-1.9%,-8.3%,"$287,858","$51,056,393",0 QI,"$2,170,903.70",$0.17,0.00 QI,
981,Qmall QMALL QMALL,$0.838788,-0.7%,39.8%,18.2%,"$1,621,096","$13,230,625","140,516,636 QMALL",$1.37,$0.08,"100,000,000 QMALL",
403,Qredo QRDO QRDO,$1.71,-0.4%,-1.7%,-19.2%,"$10,961,218","$101,286,028","71,741,648 QRDO",$9.77,$0,"960,000,000 QRDO",
127,Qtum QTUM QTUM,$6.18,0.011,0.018,-0.088,"$75,128,887","$640,841,203","104,159,034 QTUM",$106.88,$0.77,"103,944,501 QTUM",
79,Quant QNT QNT,$100.71,0.006,-0.006,-0.089,"$39,263,068","$1,348,924,358","12,072,738 QNT",$428.38,$0.16,"14,612,493.08 QNT",
589,Quantstamp QSP QSP,$0.070740446205,0.3%,1.9%,1.7%,"$1,357,593","$50,357,506","713,801,947 QSP",$0.87,$0.00,"976,442,388.32 QSP",
838,Quantum Resistant Ledger QRL QRL,$0.280256,-0.3%,7.9%,-16.5%,"$42,104.55","$21,396,547","76,294,116 QRL",$4.17,$0.04,"76,294,116.43 QRL",
348,QuarkChain QKC QKC,$0.019951761071,0.9%,0.4%,-9.4%,"$3,664,263","$132,988,849","6,399,906,497 QKC",$4.88,$0.00,"10,000,000,000 QKC",
477,Quickswap QUICK QUICK,$164.68,1.5%,1.8%,-13.3%,"$4,796,391","$75,771,794","327,100 QUICK","$13,732.74",$56.20,"1,000,000 QUICK",
292,Radicle RAD RAD,$4.37,-0.019,0.049,-0.054,"$7,597,355","$180,307,911","30,820,811 RAD",$27.35,$1.56,"99,998,580 RAD",
178,Radio Caca RACA RACA,$0.001286221485,-0.004,-0.026,-0.345,"$16,018,055","$395,308,956","306,887,160,390 RACA",$0.01,$0.00,"431,418,233,271 RACA",
87,Radix XRD XRD,$0.125079,0.02,-0.015,-0.057,"$276,694","$1,232,602,315","9,893,026,140 XRD",$0.65,$0.07,"12,106,864,914.23 XRD",
579,Rai Reflex Index RAI RAI,$3.03,0.0%,0.2%,0.2%,"$296,451","$51,744,436","11,067,213 RAI",$4.19,$2.57,"11,067,213.1 RAI",
288,Railgun RAIL RAIL,$3.20,0.055,0.072,0.047,"$3,779,216","$183,653,756","57,500,000 RAIL",$8.37,$0.32,"57,500,000 RAIL",
805,Rainicorn RAINI RAINI,$0.050418963960,0.7%,1.7%,-25.4%,"$141,076","$24,372,966","500,000,000 RAINI",$0.20,$0.01,"500,000,000 RAINI",
167,Rally RLY RLY,$0.161731,0.042,0.13,-0.001,"$6,122,270","$445,583,889","2,790,144,224 RLY",$1.40,$0.06,"15,000,000,000 RLY",
319,Rari Governance Token RGT RGT,$13.64,1.5%,1.7%,-10.3%,"$52,052.24","$153,498,027","12,469,774 RGT",$68.21,$0.27,"12,485,047.99 RGT",
606,Rarible RARI RARI,$6.32,-0.003,-0.001,-0.196,"$607,280","$48,282,309","8,201,957 RARI",$63.53,$0.31,"25,000,000 RARI",
154,Ravencoin RVN RVN,$0.049747897922,0.007,0.018,-0.101,"$13,214,079","$520,063,555","10,473,290,000 RVN",$0.29,$0.01,"10,473,290,000 RVN",
229,Raydium RAY RAY,$2.47,0.004,0.012,-0.079,"$24,279,989","$250,970,505","111,218,787 RAY",$16.93,$0.86,"554,999,996.05 RAY",
398,Redacted Cartel BTRFLY BTRFLY,$116.45,1.8%,-7.2%,-29.3%,"$1,038,656","$105,854,697",,"$3,729.22",$0,"105,051 BTRFLY",
901,Reddcoin RDD RDD,$0.000540801823,0.1%,-0.0%,-9.9%,"$15,518.78","$16,707,797","30,397,274,955 RDD",$0.03,$0.00,"30,397,274,955 RDD",
313,Reef Finance REEF REEF,$0.008594832569,1.6%,5.0%,-11.0%,"$78,744,019","$161,076,986","19,482,456,416 REEF",$0.06,$0.00,"19,482,456,416 REEF",
746,Ref Finance REF REF,$2.64,0.2%,-8.1%,-27.3%,"$2,711,638","$30,434,387",0 REF,$14.97,$0.45,"100,000,000 REF",
553,Refereum RFR RFR,$0.011473595468,0.8%,0.2%,-12.6%,"$3,604,973","$55,963,515","4,999,180,100 RFR",$0.06,$0.00,"4,999,650,000 RFR",
717,Refinable FINE FINE,$0.061278660534,0.4%,-0.7%,-10.4%,"$675,119","$33,475,832","41,059,833 FINE",$8.36,$0.03,"500,000,000 FINE",
736,Reflexer Ungovernance Token FLX FLX,$71.28,-1.1%,1.6%,-11.4%,"$222,954","$31,644,711","193,796 FLX","$2,694.40",$39.99,"999,715 FLX",
475,Regen REGEN REGEN,$0.613941,0.4%,-1.8%,-8.1%,"$104,495","$77,668,138",0 REGEN,$226.40,$0,0.00 REGEN,
874,Reimagined Finance REFI REFI,$0.019138047288,0.1%,2.3%,-25.0%,"$52,218.39","$19,141,926",0 REFI,$0.12,$0.00,"1,000,000,000 REFI",
190,REN REN REN,$0.341790,0.01,0.007,-0.08,"$23,305,134","$341,013,041","999,037,500 REN",$1.83,$0.02,"999,999,632.8 REN",
182,Render Token RNDR RNDR,$1.59,0.034,0.077,-0.228,"$18,669,223","$381,226,493","253,798,860 RNDR",$8.76,$0.04,"530,962,614.98 RNDR",
312,Request REQ REQ,$0.208774,1.0%,0.1%,-6.3%,"$4,332,423","$161,723,238","999,846,320 REQ",$1.18,$0.00,"999,877,117 REQ",
279,Reserve Rights Token RSR RSR,$0.011503281341,0.007,0.034,-0.176,"$32,815,331","$190,473,258","14,801,148,904 RSR",$0.12,$0.00,"100,000,000,000 RSR",
596,Retreeb TREEB TREEB,$0.130533,-2.1%,-7.9%,-21.9%,"$770,141","$49,313,813","154,000,000 TREEB",$0.43,$0.00,"1,000,000,000 TREEB",
681,Revolution Populi RVP RVP,$0.031150365924,0.009,0.1,-0.061,"$94,605.26","$37,405,812","1,200,000,000 RVP",$0.14,$0,"2,000,000,000 RVP",
675,REVV REVV REVV,$0.071689932615,0.002,-0.011,-0.16,"$10,730,682","$38,177,599","278,270,642 REVV",$0.64,$0.01,"3,000,000,000 REVV",
550,RFOX RFOX RFOX,$0.038328772273,0.4%,-1.4%,-22.3%,"$891,865","$57,204,824","1,312,000,760 RFOX",0.6416,$0.01,"3,000,000,000 REV",
602,Ribbon Finance RBN RBN,$0.923783,-0.003,0,-0.124,"$815,496","$48,559,640","162,123,922 RBN",$4.89,$0.27,"1,000,000,000 RBN",
592,Rich Quack QUACK QUACK,$0.000000001127,0.3%,2.6%,-9.0%,"$764,677","$50,191,959","44,085,961,274,152,304 QUACK",$0.00,$0,"46,775,855,335,611,000 QUACK",
499,RIZON ATOLO ATOLO,$0.031537271745,0.0%,-1.8%,-13.0%,"$178,249","$69,348,742","1,734,655,462 ATOLO",$0.12,$0.01,"2,234,655,461.03 ATOLO",
407,RMRK RMRK RMRK,$10.56,-0.2%,-1.7%,-29.8%,"$6,339,202","$100,327,827","9,500,000 RMRK",$66.98,$0,"10,000,000 RMRK",
153,Rocket Pool RPL RPL,$32.89,0.014,0.042,-0.038,"$291,847","$530,393,029","10,279,742 RPL",$154.73,$0.09,"17,922,514.61 RPL",
290,Ronin RON RON,$1.23,0.008,0.032,-0.14,"$1,253,991","$182,791,799","148,339,298 RON",$4.32,$0.43,"1,000,000,000 RON",
710,Rootkit ROOT ROOT,"$3,596.21",0.4%,2.6%,-10.0%,"$3,989.64","$33,886,808",0 ROOT,"$46,608.76",$0,"9,897.31 ROOT",
869,Router Protocol ROUTE ROUTE,$2.72,0.1%,-1.2%,-23.0%,"$693,548","$19,430,586","7,414,706 ROUTE",$19.04,$0.94,"20,000,000 ROUTE",
377,RSK Infrastructure Framework RIF RIF,$0.135231,-0.1%,0.2%,-2.0%,"$440,621","$115,075,423","850,953,339 RIF",$0.46,$0.03,"1,000,000,000 RIF",
785,Rubic RBC RBC,$0.236525,-3.1%,-2.8%,-18.3%,"$844,524","$26,082,773","50,822,356 RBC",$3.18,$0.23,"300,000,000 RBC",
818,Rupiah Token IDRT IDRT,$0.000068816298,-1.0%,-0.0%,-2.6%,"$727,427","$23,116,554","215,347,997,094 IDRT",$0.00,$0.00,"130,112,000,000 IDRT",
814,Saber SBR SBR,$0.025739196040,0.5%,20.0%,11.8%,"$2,229,631","$23,480,317","997,205,707 SBR",$1.12,$0.01,"98,111,671.94 SBR",
902,Safe Haven SHA SHA,$0.002963476910,0.3%,10.1%,1.8%,"$100,549","$16,696,936","3,005,855,396 SHA",$0.16,$0.00,"8,500,000,000 SHA",
215,SafeMoon [OLD] SAFEMOON SAFEMOON,$0.000000538627,0.003,0.043,-0.029,$168.02,"$277,800,683","562,228,495,914,180 SAFEMOON",$0.00,$0,0.00 SAFEMOON,
180,SafeMoon SFM SFM,$0.000704168169,0.002,0.002,-0.075,"$2,208,368","$398,652,815","563,044,654,736 SFM",$0.01,$0.00,"1,000,000,000,000 SFM",
465,SafePal SFP SFP,$0.739159,0.4%,3.2%,-8.6%,"$8,590,109","$79,979,865","108,166,667 SFP",$4.39,$0.29,"500,000,000 SFP",
584,Saito SAITO SAITO,$0.029072623618,0.6%,2.7%,-24.5%,"$2,867,562","$51,348,971","1,065,408,547 SAITO",$0.13,$0.00,"3,000,000,000 SAITO",
572,Samoyedcoin SAMO SAMO,$0.015820069951,0.4%,0.0%,-18.9%,"$4,067,234","$52,732,292","3,490,268,028 SAMO",$0.25,$0.00,"7,746,913,929 SAMO",
884,Santiment Network Token SAN SAN,$0.291008,0.1%,-3.2%,-5.1%,"$4,995.46","$18,677,009","63,293,579 SAN",$8.14,$0,"83,337,000 SAN",
1000,Santos FC Fan Token SANTOS SANTOS,$3.58,0.5%,1.0%,-22.1%,"$1,680,382","$12,509,968","4,550,000 SANTOS",$28.60,$1.21,"30,000,000 SANTOS",
135,Sapphire SAPP SAPP,$0.664938,0.009,0.031,0.073,"$905,152","$588,386,712","537,572,916 SAPP",$0.81,$0.00,"555,719,404.52 SAPP",
382,Savanna SVN SVN,$0.991885,4.1%,-13.5%,-28.4%,"$46,393,430","$113,730,197",,$3.62,$0.03,"4,846,406 SVN",
780,ScPrime SCP SCP,$0.546958,1.5%,12.1%,2.1%,"$43,295.37","$26,678,407","42,673,587 SCP",$3.60,$0.00,"46,313,031 SCP",
112,Secret SCRT SCRT,$4.57,0.003,-0.035,-0.089,"$27,314,079","$767,773,815","163,295,557 SCRT",$10.64,$0.26,"190,165,060 SCRT",
414,Seedify.fund SFUND SFUND,$3.35,1.0%,5.9%,-14.8%,"$2,767,626","$95,943,393","24,536,774 SFUND",$16.77,$0.29,"100,000,000 SFUND",
610,SelfKey KEY KEY,$0.007998341919,0,0.018,-0.052,"$3,589,359","$48,067,821","5,124,969,446 KEY",$0.09,$0.00,"5,999,999,954.46 KEY",
964,Sentinel [OLD] DVPN DVPN,$0.006895008759,0.4%,1.7%,,$0.489546,"$13,804,642","9,169,632,256 DVPN",$0.05,$0.00,"16,314,444,013 DVPN",
766,Sentinel DVPN DVPN,$0.003412462555,0.3%,-1.4%,-18.7%,"$394,225","$28,333,368","9,169,632,256 DVPN",$0.05,$0.00,"16,314,444,013 DVPN",
660,Sentinel Protocol UPP UPP,$0.124943,0.006,0.022,-0.093,"$10,819,356","$40,996,022","459,834,801 UPP",$0.42,$0.00,"500,000,000 UPP",
139,Serum SRM SRM,$2.19,0.009,0.023,-0.101,"$91,922,966","$573,764,227","263,244,669 SRM",$13.72,$0.11,"1,092,844,982 SRM",
450,sETH SETH SETH,"$2,965.41",0.4%,3.2%,-3.1%,"$2,590,562","$85,393,184","20,136,683 SETH",$1.28,$0.01,"20,136,682.87 SETH",
440,ShapeShift FOX Token FOX FOX,$0.283139,-1.2%,-0.7%,-17.4%,"$1,109,138","$87,407,558","377,154,162 FOX",$5.13,$0.13,"1,000,001,337 FOX",
497,ShareToken SHR SHR,$0.005014018227,-0.4%,-1.9%,-24.4%,"$550,003","$69,453,171","2,335,272,782 SHR",$0.10,$0.00,"6,434,460,139.8 SHR",
15,Shiba Inu SHIB SHIB,$0.000023207523,0.005,0.005,-0.067,"$514,857,046","$12,752,680,183","549,063,278,876,302 SHIB",$0.00,$0.00,"589,735,030,408,322.8 SHIB",
583,ShibaDoge SHIBDOGE SHIBDOGE,$0.000000000000,-0.1%,3.7%,-5.6%,"$99,093.65","$51,373,648",NaN SHIBDOGE,<$0.000000000001,<$0.000000000001,0.00 SHIBDOGE,
157,Siacoin SC SC,$0.009695649021,0.009,0.024,-0.11,"$12,929,510","$490,843,605","51,027,052,992 SC",$0.11,$0.00,"51,027,052,992 SC",
303,Sifchain EROWAN EROWAN,$0.155913,0.8%,7.3%,45.2%,"$1,741,996","$171,974,782","1,475,637,198 erowan",$6.78,$0.02,"1,240,459,122.69 erowan",
559,Silent Notary UBSN UBSN,$0.000347691740,1.1%,-4.2%,-24.6%,"$520,238","$55,024,946","66,444,606,740 UBSN",$0.00,$0,"186,462,812,051 UBSN",
664,Silo Finance SILO SILO,$0.388856,-0.057,0.103,-0.321,"$122,574","$40,142,958","103,250,000 SILO","$866,953,278.29",$0.08,"1,000,000,000 SILO",
597,SingularityDAO SDAO SDAO,$1.10,0.4%,1.5%,-32.7%,"$3,000,513","$49,186,403","38,560,574 SDAO",$6.61,$0.38,"100,000,000 SDAO",
666,Sipher SIPHER SIPHER,$0.550055,0.006,0.001,-0.074,"$444,319","$39,874,086","74,454,546 SIPHER",$1.20,$0.27,"74,454,546 SIPHER",
121,SKALE SKL SKL,$0.195384,0.01,0.222,-0.02,"$105,053,747","$677,929,822","3,501,977,671 SKL",$1.22,$0.06,"4,276,664,349 SKL",
142,Smooth Love Potion SLP SLP,$0.014103489279,0.007,0.024,-0.165,"$268,402,249","$562,484,797","5,375,374,133 SLP",$0.42,$0.00,"5,375,374,133 SLP",
620,SnowBlossom SNOW SNOW,$4.42,0.002,0.192,,$345.69,"$46,292,784","464,080 SNOW",$169.42,$0.66,"500,000 SNOW",
534,Socean Staked Sol SCNSOL SCNSOL,$103.51,0.6%,1.7%,-5.7%,"$98,590.13","$59,615,951",0 SCNSOL,"$1,339.34",$33.53,"455,587 SCNSOL",
6,Solana SOL SOL,$99.56,0.007,0.014,-0.057,"$1,266,885,867","$33,339,856,156","340,095,527 SOL",$260.06,$0.51,"99,989,535,142 XRP",
860,Solend SLND SLND,$1.79,-0.2%,0.3%,-4.4%,"$149,565","$20,059,973","18,707,557 SLND",$16.72,$1.04,"100,000,000 SLND",
723,SOLVE SOLVE SOLVE,$0.073636758212,0.2%,2.6%,-5.2%,"$187,648","$32,621,783","435,342,963 solve",$0.60,$0.02,"1,000,000,000 SOLVE",
567,Somnium Space CUBEs CUBE CUBE,$4.13,0.6%,-7.0%,-20.1%,"$342,074","$53,201,819","12,500,000 CUBE",$69.07,$1.54,"100,000,000 CUBE",
168,Songbird SGB SGB,$0.055134862740,-0.002,0.072,-0.066,"$1,160,171","$438,798,710","9,988,725,826 SGB",$0.72,$0.02,"16,039,726,027.4 SGB",
887,Sora XOR XOR,$41.26,-0.0%,2.4%,-9.3%,"$277,854","$18,390,230","519,056 XOR","$17,573.88",$0.64,"406,855.25 XOR",
911,Sora XOR XOR,$36.12,0.3%,1.0%,-16.0%,"$357,079","$16,269,536","519,056 XOR","$17,573.88",$0.64,"406,855.25 XOR",
507,Sovryn SOV SOV,$3.15,-0.6%,-0.2%,-13.4%,"$239,345","$66,483,030",,$44.91,$1.35,"100,000,000 SOV",
789,Spartacus SPA SPA,$17.97,-0.9%,-0.8%,-6.1%,"$46,085.69","$25,650,317","219,795 SPA",$474.71,$10.65,"37,000 SPA",
639,Spectrum Token SPEC SPEC,$5.14,-0.008,-0.003,0.217,"$2,019,589","$43,932,657","9,153,820 SPEC",$8.29,$0.05,"40,000,000 SPEC",
196,Spell Token SPELL SPELL,$0.003771382869,0.015,0.007,-0.104,"$31,047,064","$330,283,806","91,974,606,805 SPELL",$0.08,$0.00,"103,214,939,480 SPELL",
360,Sperax SPA SPA,$0.159194,-0.4%,1.6%,-3.0%,"$5,538,028","$125,139,617","1,149,088,772 SPA",$0.24,$0.01,"4,742,212,757.96 SPA",
804,Sperax USD USDS USDS,$0.997841,-0.4%,-0.0%,-0.1%,"$150,517","$24,464,443","22,224,869 USDs","$1,468.63",$0.89,"22,224,869.29 USDs",
528,Splinterlands SPS SPS,$0.124453,1.1%,12.4%,-1.8%,"$1,636,817","$60,794,579","710,861,250 SPS",$1.27,$0.06,"791,374,477.2 SPS",
453,Spookyswap BOO BOO,$8.93,0.9%,-0.4%,-18.6%,"$1,992,803","$84,274,547","9,390,930 BOO",$39.99,$3.06,"9,390,930.32 BOO",
644,Spool DAO Token SPOOL SPOOL,$3.44,-0.001,0.112,0.178,"$1,287,892","$42,597,729","9,168,106 SPOOL",$5.46,$0.60,"210,000,000 SPOOL",
879,Sportium SPRT SPRT,$0.812944,1.3%,1.3%,-15.6%,"$4,199,828","$18,910,534","23,261,797 SPRT",$3.98,$0.15,"1,000,000,000 SPRT",
821,StackOS STACK STACK,$0.067740353745,-0.8%,9.7%,-3.5%,"$375,923","$22,813,131","372,183,352 STACK",$0.79,$0.02,"1,000,000,000 STACK",
93,Stacks STX STX,$1.06,0.005,0.011,-0.108,"$16,641,113","$1,115,214,107","1,316,059,881 STX",$3.61,$0.05,"1,352,464,600 STX",
799,Stader SD SD,$3.78,0.5%,-4.4%,-20.8%,"$2,434,792","$24,717,184","4,591,153 SD",$9.39,$0.81,0.00 SD,
643,Star Atlas ATLAS ATLAS,$0.019782348931,0.007,-0.006,-0.169,"$5,362,406","$42,656,224","2,160,000,000 ATLAS",$0.28,$0.01,"36,000,000,000 ATLAS",
748,Star Atlas DAO POLIS POLIS,$1.39,-0.2%,0.8%,-11.7%,"$1,267,751","$30,038,314","21,600,000 POLIS",$19.23,$0.59,"360,000,000 POLIS",
459,Stargaze STARS STARS,$0.092869472557,0.0%,-2.9%,-27.0%,"$170,054","$82,150,503","591,102,195 STARS",$0.85,$0.03,"999,999,503 STARS",
422,StarLink STARL STARL,$0.000009187360,0.6%,2.5%,-25.2%,"$4,730,163","$91,757,913","9,979,172,029,858 STARL",$0.00,$0.00,"10,000,000,000,000 STARL",
698,StarTerra STT STT,$1.21,0,-0.016,-0.005,"$161,418","$34,949,386","33,134,374 STT",$8.60,$0.00,"75,866,975.71 STT",
699,StarTerra STT STT,$1.21,0.3%,-1.5%,-0.4%,"$161,499","$34,759,389","33,134,374 STT",$8.60,$0.00,"75,866,975.71 STT",
353,STASIS EURO EURS EURS,$1.05,-0.0%,-0.4%,-2.2%,"$29,608,629","$130,215,247","124,125,940 EURS",$1.40,$0.98,"124,125,940 EURS",
603,Steem Dollars SBD SBD,$4.36,-0.002,0.05,-0.026,"$159,727,531","$48,546,774","11,338,908 SBD",$22.34,$0.26,"11,338,908.05 SBD",
32,Stellar XLM XLM,$0.185960,0.003,0.008,-0.073,"$232,254,023","$4,618,656,478","24,810,502,500 XLM",$0.94,$0.00,"50,001,787,831.5 XLM",
617,Step App FITFI FITFI,$0.274362,0.003,-0.107,,"$104,668,912","$46,716,213","410,000,000 FITFI",$0.73,$0.08,"5,000,000,000 FITFI",
854,Step Finance STEP STEP,$0.097346785295,0.0%,-4.4%,-22.7%,"$3,622,186","$20,191,399","2,400,000 STEP",$10.50,$0.04,"4,000,000 STEP",
58,STEPN GMT GMT,$3.80,0.018,-0.012,0.131,"$3,193,387,254","$2,284,848,654",,$4.11,$0.10,"6,000,000,000 GMT",
332,Storj STORJ STORJ,$1.01,-0.5%,3.3%,-15.0%,"$33,101,408","$145,404,687","395,571,595 STORJ",$3.91,$0.05,"424,999,998 STORJ",
317,StormX STMX STMX,$0.016950155832,0.7%,-0.2%,-15.6%,"$2,639,347","$157,523,061","10,000,000,000 STMX",$0.25,$0.00,"10,000,000,000 STMX",
342,Stratis STRAX STRAX,$1.01,0.1%,0.9%,-8.2%,"$5,290,249","$138,126,432","137,490,633 STRAX",$22.66,$0.01,"137,387,367.41 STRAX",
782,Stratos STOS STOS,$0.984055,2.5%,2.2%,-17.3%,"$364,050","$26,624,198","20,152,153 STOS",$5.50,$0.34,"100,000,000 STOS",
365,Strike STRK STRK,$37.96,-0.1%,-0.2%,-7.1%,"$6,339,192","$120,295,929","136,008,947 STRX","$6,604.84",$0.00,"886,811,800 STRX",
958,Stronghold Token SHX SHX,$0.002611486432,0.0%,6.6%,-3.7%,"$105,561","$14,035,259","5,793,905,044 SHX",$0.06,$0,"99,756,866,344 SHX",
808,SUKU SUKU SUKU,$0.202069,-0.1%,0.2%,-10.0%,"$3,542,967","$24,071,336","119,009,944 SUKU",$1.58,$0.06,"1,500,000,000 SUKU",
333,Sun Token SUN SUN,$0.013848012991,0.2%,0.9%,-4.7%,"$107,496,011","$145,610,583","10,514,908,025 SUN",$0.05,$0.01,"19,900,730,000 SUN",
325,SuperFarm SUPER SUPER,$0.523355,0.3%,4.2%,-16.7%,"$8,758,165","$150,376,551","403,829,654 SUPER",$4.73,$0.15,"999,998,077.42 SUPER",
463,SuperRare RARE RARE,$0.555820,-0.5%,1.5%,-10.3%,"$10,979,894","$80,507,170","101,756,228 RARE",$3.79,$0.14,"1,000,000,000 RARE",
136,Sushi SUSHI SUSHI,$3.03,0.021,0.023,-0.14,"$139,698,602","$581,714,062","127,244,443 SUSHI",$23.38,$0.47,"242,508,045.33 SUSHI",
517,Swarm BZZ BZZ,$0.970750,0.5%,-10.6%,-23.5%,"$2,020,271","$62,876,965","48,092,530 BZZ",$59.64,$0.40,"63,677,277.3 BZZ",
910,SWFTCOIN SWFTC SWFTC,$0.002503271837,-0.3%,3.2%,-11.1%,"$5,935,183","$16,292,207","4,004,999,999 SWFTC",$0.09,$0.00,"10,000,000,000 SWFTC",
179,SwissBorg CHSB CHSB,$0.415639,0.003,0.007,-0.069,"$472,713","$393,685,958","1,000,000,000 CHSB",$1.65,$0.00,"1,000,000,000 CHSB",
759,SX Network SX SX,$0.361990,0.6%,12.3%,9.7%,"$597,013","$28,816,072","102,000,000 SX",$9.41,$0.24,"500,000,000 SX",
151,SXP SXP SXP,$1.12,0.005,0.011,-0.161,"$54,677,642","$541,967,999","486,273,623 SXP",$5.86,$0.16,"525,116,693.33 SXP",
934,Sylo SYLO SYLO,$0.004122805711,0.1%,7.8%,-8.1%,"$778,792","$14,943,235","2,431,617,492 SYLO",$0.01,$0.00,"10,000,000,000 SYLO",
973,Symbiosis Finance SIS SIS,$0.784547,-1.6%,-10.8%,-20.4%,"$948,851","$13,579,408","17,294,050 SIS",$5.61,$0.23,"100,000,000 SIS",
152,Synapse SYN SYN,$2.92,0.024,0.012,-0.172,"$3,191,123","$532,683,563","180,209,601 SYN",$5.01,$1.10,"180,209,601 SYN",
85,Synthetix Network Token SNX SNX,$5.65,0.007,-0.056,-0.149,"$108,953,351","$1,249,220,326","114,841,533 SNX",$28.77,$0.03,"215,258,834.24 SNX",
560,Syntropy NOIA NOIA,$0.114749,0.9%,0.8%,-15.8%,"$586,764","$54,987,674","563,797,251 NOIA",$0.89,$0.00,"1,000,000,000 NOIA",
193,Syscoin SYS SYS,$0.525138,0.007,-0.053,0.009,"$18,627,903","$336,384,904","646,017,578 SYS",$1.31,$0.00,"640,953,639.58 SYS",
839,Taboo Token TABOO TABOO,$0.002177828560,4.4%,3.3%,-14.9%,"$818,792","$21,375,103","9,782,678,080 TABOO",$0.05,$0.00,"9,782,678,080 TABOO",
636,Talken TALK TALK,$0.395340,0.002,-0.018,-0.047,"$541,036","$44,095,806","111,326,337 TALK",$3.30,$0.11,"500,000,000 TALK",
641,Tectonic TONIC TONIC,$0.000000644721,-0.002,-0.011,-0.105,"$666,316","$43,028,542",0 TONIC,$0.00,$0.00,"500,000,000,000,000 TONIC",
209,Telcoin TEL TEL,$0.004841080576,0.007,0.012,-0.184,"$3,810,485","$305,517,504","61,278,700,558 TEL",$0.06,$0.00,"100,000,000,000 TEL",
647,Tellor TRB TRB,$18.07,0.002,0.021,-0.155,"$4,743,955","$42,185,923","1,703,442 TRB",$163.76,$1.11,"2,388,407.86 TRB",
294,Telos TLOS TLOS,$0.677648,-0.002,0.174,-0.033,"$28,275,973","$178,827,498","270,123,444 TLOS",$1.43,$0.01,"355,208,370.67 TLOS",
269,Tenset 10SET 10SET,$2.30,0.005,-0.037,-0.336,"$4,397,933","$203,429,475","89,524,859 10SET",$6.68,$0.67,"210,000,000 10SET",
880,Ternoa CAPS CAPS,$0.034217360777,-0.1%,1.0%,-13.7%,"$347,681","$18,922,936","658,135,678 CAPS",$0.22,$0.01,"2,500,000,000 CAPS",
950,Ternoa CAPS CAPS,$0.025981273227,0.3%,-7.4%,-32.7%,"$528,951","$14,350,063","658,135,678 CAPS",$0.22,$0.01,"2,500,000,000 CAPS",
8,Terra LUNA LUNA,$89.41,0.016,0.003,-0.058,"$1,952,951,795","$30,970,618,546","210,000,000 LUNA",$119.18,$0.12,"753,639,362.02 LUNA",
653,Terra Virtua Kolect TVK TVK,$0.096392980810,0.002,0.019,-0.093,"$4,115,328","$41,806,625","734,348,939 TVK",$1.22,$0.03,"1,200,000,000 TVK",
764,TerraKRW KRT KRT,$0.000786197872,0.1%,-0.1%,-2.5%,"$25,438.05","$28,461,076","39,448,737,708 KRT",$0.00,$0.00,"39,449,466,816.59 KRT",
12,TerraUSD UST UST,$1.00,0.001,0.002,-0.004,"$763,040,182","$18,461,592,207",,$1.05,$0.68,"17,802,629,407.47 UST",
3,Tether USDT USDT,$0.998882,-0.001,-0.002,-0.001,"$58,281,396,061","$83,177,733,231","83,167,194,183 USDT",$1.22,$0.57,"86,713,951,794.89 USDT",
51,Tezos XTZ XTZ,$2.83,0.006,0.014,-0.102,"$81,108,246","$2,512,125,686","894,175,064 XTZ",$9.18,$0.31,"915,766,492.08 XTZ",
724,The Doge NFT DOG DOG,$0.003732598047,-0.2%,-0.3%,-6.4%,"$392,857","$32,384,499","7,636,363,636 DOG",$0.13,$0.00,"16,969,696,969 DOG",
48,The GRAPH GRT GRT,$0.998394,-0.001,-0.002,-0.001,"$23,602,907","$2,697,265,875","4,715,735,200 GRT",$2.88,$0,"10,000,000,000 GRT",
43,The Sandbox SAND SAND,$2.54,0.008,0.001,-0.115,"$259,143,912","$2,946,106,805","1,227,539,778 SAND",$8.44,$0.03,"3,000,000,000 SAND",
61,Theta Fuel TFUEL TFUEL,$0.152658,0.001,0.007,-0.083,"$16,773,572","$1,886,178,774","5,301,214,400 TFUEL",$0.68,$0.00,"5,301,214,400 TFUEL",
46,Theta Network THETA THETA,$2.78,0.003,0.003,-0.102,"$120,664,083","$2,795,290,654","1,000,000,000 THETA",$15.90,$0.04,"1,000,000,000 THETA",
562,THORChain (ERC20) RUNE RUNE,$7.21,0.6%,1.0%,-18.9%,"$203,463","$54,518,012","330,688,061 RUNE",$21.26,$0.01,"334,937,974.91 RUNE",
56,THORChain RUNE RUNE,$7.65,0.006,-0.002,-0.162,"$175,666,701","$2,308,548,381","330,688,061 RUNE",$21.26,$0.01,"334,937,974.91 RUNE",
816,THORSwap THOR THOR,$0.979261,-0.0%,4.7%,-14.4%,"$540,658","$23,346,375","89,916,667 THOR",$3.15,$0.28,"500,000,000 THOR",
